cascade_id,video_url,label,event_title,french,spanish,russian,arabic
f38,https://www.youtube.com/watch?v=9zv6q3tFDJw,fake,The Creepiest Alien Creature Navajo Nation,la créature extraterrestre creepiest nation navajo,la más espeluznante criatura alienígena Nación Navajo,Creepiest инопланетное существо навахо,ومخيف مخلوق غريب أمة نافاجو
f39,https://www.youtube.com/watch?v=aHfc7hpOYHQ,fake,Grey Object seen and Nasa HD Cam cuts off quickly,objet gris vu et nasa cam HD coupe rapidement,objeto gris visto y nasa hd leva corta rápidamente,серый объект видел и наса HD камера отсекает быстро,الكائن الرمادي شهدت وناسا HD كام يقطع بسرعة
f40,https://www.youtube.com/watch?v=ST6X0Ra7zOQ,fake,UFO entering Interdimensional Portal over Geneva SWITZERLAND,ufo entrant portail interdimensionnel sur genève suisse,ufo entrar portal interdimensional sobre Ginebra Suiza,нло ввода межпространственной портал над женевой швейцарией,أوفو دخول البوابة interdimensional على جنيف سويسرا
f41,https://www.youtube.com/watch?v=Or2RbrbpNR8,fake,Strange SPHERICAL UFO spotted by Police Officers in Arizona Desert - USA,étrange ufo sphérique repéré par des policiers dans le désert arizona - usa,extraño OVNI esférico descubierto por los agentes de policía en el desierto de Arizona - EE.UU.,странно сферическая нло разыскан сотрудниками полиции в пустыне Аризона - США,أوفو كروي غريب رصدت من قبل ضباط الشرطة في صحراء أريزونا - الولايات المتحدة الأمريكية
f42,https://www.youtube.com/watch?v=ZyR1c430wk0,fake,ALIEN GOES INSIDE FLYING SAUCER,alien va à l'intérieur soucoupe volante,extranjero va dentro de platillo volador,Иностранец идет внутри летающей тарелки,أجنبي يذهب داخل الصحن الطائر
f43,https://www.youtube.com/watch?v=JtwjHbcJDpA,fake,Extraordinary UFO footage from Malaysia,images extraordinaires ufo de malaisie,extraordinario material de archivo OVNI de Malasia,необыкновенные нло кадров из Малайзии,لقطات جسم غامض غير عادية من ماليزيا
f44,https://www.youtube.com/watch?v=_rgRzfLmS-s,fake,UFOs over Oklahoma State Fair,OVNIs plus oklahoma juste état,OVNIS más justa del Estado de Oklahoma,НЛО над штата Оклахома ярмарка,الجسم الغريب على معرض ولاية أوكلاهوما
f45,https://www.youtube.com/watch?v=Tis2wq6uMBY,fake,Giant UFO filmed by US Marines in Arizona Desert,ufo géant filmé par nous marines dans le désert arizona,OVNI gigante filmado por nosotros infantes de marina en el desierto de Arizona,гигантские нло снятых нас морпехи в пустыне Аризоны,أوفو العملاقة صورها لنا من مشاة البحرية في صحراء أريزونا
f46,https://www.youtube.com/watch?v=7RegVOoNxuc,fake,inter-dimensional hologram of earth,hologramme inter-dimensionnelle de terre,holograma inter-dimensional de tierra,межпространственная голограмма земли,صورة ثلاثية الأبعاد بين الأبعاد من الأرض
f47,https://www.youtube.com/watch?v=t9DYiog-nO4,fake,Bizarre luminous giant sphere in Russia,bizarre sphère géante lumineuse en russie,extraño esfera gigante luminosa en Rusia,странно светящаяся гигантская сфера в России,الغريب المجال العملاق مضيئة في روسيا
f48,https://www.youtube.com/watch?v=XwmHoWfwHiw,fake,Atomic Table : Homemade nuke,Table atomique: nuke maison,tabla atómica: arma nuclear casera,атомное стол: самодельный нюк,الجدول الذري: السلاح النووي محلية الصنع
f49,https://www.youtube.com/watch?v=IYc3vIVrLvQ,fake,Bizarre cat like creature with human face in Malaysia,chat bizarre comme la créature à visage humain en malaisie,extraño gato como criatura con rostro humano en Malasia,причудливая кошка,как существо с человеческим лицом в Малайзии,القط غريبة مثل مخلوق مع الوجه الإنساني في ماليزيا
f50,https://www.youtube.com/watch?v=XX5X9D1ULeQ,fake,Alien caught on Kerala and Karnataka Border,alien pris sur Kérala et frontière karnataka,extranjero cogido en Kerala y Karnataka frontera,иностранец поймал на Керале и Карнатака границы,أجنبي القبض على ولاية كيرالا وكارناتاكا الحدود
f51,https://www.youtube.com/watch?v=sJuWvvTkqkk,fake,Top Secret video''...Giant in Japan,top vidéo secrète « » ... géant au Japon,la parte superior de vídeo secreto '' ... gigante en Japón,сверхсекретная видео «» ... гигант в Японии,أفضل فيديو سري '' ... العملاقة في اليابان
f52,https://www.youtube.com/watch?v=JKj96az3g5w,fake,Jesus statue opening its eyes in church,statue de Jésus ouvre ses yeux à l'église,jesús estatua abriendo sus ojos en la iglesia,открыв глаза в церкви Иисус статуя,يسوع تمثال فتح عينيه في الكنيسة
f53,https://www.youtube.com/watch?v=oGDCAe6czp8,fake,flying girl in russian wood,fille volant en bois russe,chica volando en madera ruso,летать девушка в российской древесины,تحلق فتاة في خشب الروسية
f54,https://www.youtube.com/watch?v=SvttKmiQuCw,fake,Quantum Invisibility Cloak,cape d'invisibilité quantique,capa de invisibilidad cuántica,Квантовый плащ-невидимку,الكم عباءة الخفي
f55,https://www.youtube.com/watch?v=MQL61B__OIQ,fake,Ghost Motorbike Driving Without Rider in Paris,moto fantôme conduite sans cavalier à Paris,fantasma conducir sin piloto en París moto,призрак мотоцикле вождение без наездника в Париже,شبح دراجة نارية القيادة بدون متسابق في باريس
f56,https://www.youtube.com/watch?v=Vft1t63XW5U,fake,Huge Los Angeles UFO very strange skys,énormes ufo los angeles des skys très étranges,enormes UFO Los Ángeles skys muy extrañas,Огромные Лос-Анджелеса нло очень странные Skys,ضخمة أوفو لوس انجليس skys غريبة جدا
f57,https://www.youtube.com/watch?v=n-oJCiGCQ9c,fake,Bicycle Teleportation In Russia,bicyclette téléportation en Russie,teletransporte bicicleta en Rusia,велосипед телепортация в России,تحريك تخاطر دراجة في روسيا
f58,https://www.youtube.com/watch?v=G950hvMghu0,fake,Color changing dress,robe changement de couleur,vestido de color cambiante,изменение цвета платье,لون الفستان تغيير
f59,https://www.youtube.com/watch?v=LHBmD7go8No,fake,Color changing dress,robe changement de couleur,vestido de color cambiante,изменение цвета платье,لون الفستان تغيير
f60,https://www.youtube.com/watch?v=A_WflDki_G8,fake,complex coin trick,trick pièce complexe,complejo truco de la moneda,комплекс монета трюк,خدعة عملة معقدة
f61,https://www.youtube.com/watch?v=F06QKIzcB74,fake,Cloud Ring and Trumpet Sounds in Israel,anneau nuage et trompette sonne en israël,anillo de la nube y la trompeta sonidos en Israel,облако кольцо и труба звучат в израиле,حلقة سحابة والبوق الأصوات في إسرائيل
f62,https://www.youtube.com/watch?v=CSVmmPTZoqA,fake,Pink volcano,volcan rose,volcán de color rosa,розовый вулкан,بركان الوردي
f63,https://www.youtube.com/watch?v=YJd3QNt3bMc,fake,airborne view of rolling clouds around mt. Fuji,Japan,vue aérienne de rouler autour de nuages ​​mt. fuji,japon,Vista aérea de las nubes alrededor rodando mt. Fuji,Japón,воздухе вид прокатки облака вокруг мт. Фудзи,Япония,عرض المحمولة جوا من المتداول الغيوم حول طن متري. فوجي، اليابان
f64,https://www.youtube.com/watch?v=mi9eo6f-6lo,fake,Giant Spider In Russia,araignée géante en Russie,araña gigante en Rusia,гигантский паук в России,عنكبوت عملاق في روسيا
f65,https://www.youtube.com/watch?v=4SqJz0NgnnE,fake,Amazing Ball girl catch,fille balle incroyable prise,La bola asombrosa retén de la muchacha,удивительный шар девушка поймать,الكرة فتاة مذهلة الصيد
f66,https://www.youtube.com/watch?v=02uWYDj-lcI,fake,UFO in São Paulo,Brasil,ufo são paulo,brasil,OVNI en Sao Paulo,Brasil,нло в Сан-Паулу,Бразилия,أوفو في ساو باولو، البرازيل
f67,https://www.youtube.com/watch?v=7DmJZphu-7E,fake,Flying Horse in Rotterdam Netherlands,Cheval volant à rotterdam Pays-Bas,volar caballo en Rotterdam Países Bajos,летающий конь в Rotterdam НИДЕРЛАНДЫ,تحلق الخيول في روتردام هولندا
f68,https://www.youtube.com/watch?v=U1VNY1d53f8,fake,Horse flying in Saudi Arabia,cheval volant à saudi arabia,caballo volador en Arabia Saudita,лошадь летать в Саудовской Аравии,الحصان تحلق في السعودية جزيره العرب
f69,https://www.youtube.com/watch?v=C5C1WWAg7aI,fake,The Loch Ness Monster,le monstre du Loch Ness,El monstruo del lago Ness,Лохнесское чудовище,وحش بحيرة لوخ نيس
f70,https://www.youtube.com/watch?v=CGywKooNMfQ,fake,Strange sea creature,étrange créature de la mer,Extraña criatura marina,странное морское существо,مخلوق غريب البحر
f71,https://www.youtube.com/watch?v=VIq06bBGsPk,fake,Real Mermaid Footage in Japan Aquarium Live TV,réelle sirène images dans l'aquarium japon tv en direct,material de archivo sirena real en japón acuario en vivo tv,реальные русалка кадры в Японии аквариум Live TV,لقطات حورية البحر حقيقية في اليابان الحوض بث تلفزيوني مباشر
f72,https://www.youtube.com/watch?v=iAjnKyb7J5Y,fake,mermaid caught on private beach,sirène pris sur la plage privée,la sirena atrapada en la playa privada,русалки поймали на частном пляже,حورية البحر القبض على شاطئ خاص
f73,https://www.youtube.com/watch?v=QDoEtZD29f4,fake,real dragon in Tibet,vrai dragon dans tibet,dragón de verdad en el Tíbet,реальный дракон в Тибету,تنين حقيقي في التبت
f74,https://www.youtube.com/watch?v=bTeL8zZjNSA,fake,Dragon Caught on Tape in China,Dragon capturé sur bande en Chine,dragón capturado en la cinta en China,дракон поймал на пленку в Китае,اشتعلت التنين على الشريط في الصين
f75,https://www.youtube.com/watch?v=hZHUzHbFkJs,fake,angel teleportation in China,téléportation ange en Chine,teletransporte ángel en China,ангел телепортация в Китае,تحريك تخاطر الملاك في الصين
f76,https://www.youtube.com/watch?v=c7GJPhwSFHQ,fake,Mermaids caught on tape by drone,Sirènes capturé sur bande par drone,sirenas atrapados en la cinta por avión no tripulado,русалки поймали на ленте беспилотника,حوريات البحر اشتعلت على الشريط من قبل الطائرات بدون طيار
f77,https://www.youtube.com/watch?v=L2cuCYAYIpI,fake,Mermaid found in India,sirène trouvé en Inde,la sirena que se encuentra en la India,русалки найдены в Индии,حورية البحر وجدت في الهند
f78,https://www.youtube.com/watch?v=7iVgBoGyFZY,fake,Alien creature killed by man,créature extraterrestre tué par l'homme,criatura alienígena muerto por el hombre,инопланетное существо убивает человека,مخلوق غريب قتل على يد رجل
f79,https://www.youtube.com/watch?v=lvN1ZQzGUqM,fake,time traveler,voyageur du temps,Viajero del tiempo,путешественник во времени,يسافر عبر الزمن
f80,https://www.youtube.com/watch?v=cvsXiryu8jA,fake,Mermaid on the rock,sirène sur le rocher,sirenita en la roca,русалка на камне,حورية البحر على صخرة
f81,https://www.youtube.com/watch?v=CE0Q904gtMI,fake,Golden eagle snatches kid,aigle royal enfant lui arrache,águila real arrebata niño,беркут вырывает ребенка,النسر الذهبي يخطف طفل
f82,https://www.youtube.com/watch?v=OHceCL-PY3E,fake,South African girl catch a cobra,sud fille africaine attraper un cobra,al sur niña africana coger una cobra,Южноафриканская девочка поймать кобру,جنوب الفتاة الأفريقية صيد الكوبرا
f83,https://www.youtube.com/watch?v=-m3N_BnVdOI,fake,man fights off great white shark in sydney harbour,l'homme se bat au large grand requin blanc dans le port de sydney,hombre de lucha frente a un gran tiburón blanco en el puerto de Sydney,Человек борется с большой белой акулой в Сиднейской гавани,رجل يحارب من سمكة قرش بيضاء ضخمة في ميناء سيدني
f84,https://www.youtube.com/watch?v=AniJnKqkN3E,fake,crocodile attack human,humain attaque crocodile,ataque de un cocodrilo humana,крокодил нападение человек,هجوم تمساح الإنسان
f85,https://www.youtube.com/watch?v=ezkqpYJq70w,fake,Shark Swimming In Street Of West Ocean City MD Flooding,requin nageant dans la rue de la ville de l'océan à l'ouest des inondations md,tiburón nadando en la calle de la ciudad del océano al oeste md inundaciones,акула плавание на улице западного океана города мкр затопления,السباحة سمك القرش في شوارع مدينة غرب المحيط MD الفيضانات
f86,https://www.youtube.com/watch?v=xbE2Ew3GilI,fake,Miami Sharks! Scary 2017,requins! miami effrayant 2017,tiburones Miami! aterrador 2017,майами акула! страшно +2017,أسماك القرش ميامي! مخيف 2017
f87,https://www.youtube.com/watch?v=w7x_lWJNnNg,fake,Cat has a crazy deep meow,chat a un miaulement profond fou,gato tiene un maullido profunda loca,кот имеет сумасшедший глубокий мяу,القط لديه مواء عميق مجنون
f88,https://www.youtube.com/watch?v=BgXOUHuHCtM,fake,Virual whale 7d,7d baleine virual,7d ballena Virual,Virual 7d кит,7D الحوت الوهمية على الانترنت
f89,https://www.facebook.com/NablusToday/videos/709022615787486/,fake,7D Laser Animal Show at Dubai Mall,spectacle animal laser 7d au centre commercial dubai,7d espectáculo de animales con láser en el centro comercial Dubai,7d лазерное шоу животных в дубаи молл,7D عرض الحيوانات الليزر في دبي مول
f90,https://www.youtube.com/watch?v=CQfehd6oGRQ,fake,giant squid found on the Seram beach,Maluku Indonesia,calmar géant se trouve sur la plage de seram,Maluku indonésie,calamar gigante encontrado en la playa seram,maluku indonesia,гигантский кальмар найден на Seram пляже,Maluku индонезия,الحبار العملاق وجدت على الشاطئ سيرام، مالوكو الاندونيسية
f91,https://www.youtube.com/watch?v=IZ5lgCKt5YQ,fake,Spider bursts out of a Banana,éclate araignée sur une banane,ráfagas de araña fuera de un plátano,паук очереди из банана,رشقات نارية العنكبوت من الموز
f92,https://www.facebook.com/deadpoetssocietypage/videos/10156284760923072/,fake,Starving polar bear video exposes climate change impact,mourir de faim vidéo de l'ours polaire expose l'impact du changement climatique,hambrientos de vídeo oso polar expone impacto del cambio climático,голодает белых медведей видео обнажает воздействие изменения климата,تجويع القطبي الدب فيديو يعرض آثار تغير المناخ
f93,https://www.youtube.com/watch?v=GhxqIITtTtU,fake,Ape With AK-47,singe avec AK47,mono con AK-47,обезьяна с АК-47,قرد مع AK-47
f94,https://www.youtube.com/watch?v=eK0pO79YkvY,fake,Bear Attack,ours attaque,ataque de un oso,медведь нападение,هجوم الدب
f95,https://www.youtube.com/watch?v=VBa4D9D6Gng,fake,Lion Takes Revenge On Trophy Hunter,lion se venge sur chasseur de trophées,león se venga de Trophy Hunter,лев мстит охотнику трофей,الأسد يأخذ الانتقام من صياد الكأس
f96,https://www.youtube.com/watch?v=g7WjrvG1GMk,fake,Pig rescues baby goat,cochon sauvetages chevreau,cerdo rescata de cabrito,свинья спасает ребенка козу,خنزير ينقذ طفل الماعز
f97,https://www.youtube.com/watch?v=0of6v17e1kU,fake,Dolphin saves the dog,dauphin sauve le chien,delfín salva el perro,дельфин спасает собаку,دولفين ينقذ كلب
f98,https://www.youtube.com/watch?v=ybJoaIzZ_Ew,fake,Killer Whale eats man on beach,orque mange homme sur la plage,orca come el hombre en la playa,косатка съедает человек на пляже,حوت قاتل يأكل رجل على الشاطئ
f99,https://www.youtube.com/watch?v=_9fDPGotFFE,fake,Killer Whale Eats Eskimo,orque mange eskimo,orca come esquimal,касатка ест эскимо,حوت قاتل يأكل الإسكيمو
f100,https://www.youtube.com/watch?v=pqBymTOlMxI,fake,Lady falls in Seaworld pool,dame tombe dans la piscine de SeaWorld,dama cae en la piscina SeaWorld,дама падает в Океанариум SeaWorld бассейн,سيدة يقع في بركة سي وورلد
f101,https://www.youtube.com/watch?v=tIBJqmPsBg4,fake,Killer whale kills trainer at Orlando's Sea World,orque tue entraîneur au monde de la mer de orlando,orca mata entrenador en el mundo del mar de Orlando,косатка убивает тренера в море мира Орландо,حوت قاتل يقتل مدرب في العالم البحر اورلاندو
f102,https://www.youtube.com/watch?v=Ka5VcfiAGQc,fake,Sea World,Shamu kills trainer,monde de la mer,Shamu tue formateur,marino,shamu mata entrenador,морской мир,Шам убивает тренер,عالم البحار، شامو يقتل مدرب
f103,https://www.youtube.com/watch?v=0QwRW148Jys,fake,Hawk throws snake at family in Melbourne,faucon jette serpent à la famille dans melbourne,halcón lanza de serpiente en la familia en Melbourne,Ястреб бросает змею в семье в Мельбурне,الصقر يلقي ثعبان في الأسرة في ملبورن
f104,https://www.facebook.com/skynews/videos/1321336991214228/,fake,snowboader girl chased by bear,fille de snowboader chassée par les ours,chica Snowboader perseguida por oso,snowboader девочка,преследуемый медведь,فتاة سنووبوادير مطاردا من قبل الدب
f105,https://www.youtube.com/watch?v=AUF_LFWjbTY,fake,Arabs Destroy Christmas Tree In Italy,arbre de Noël arabs destroy en Italie,árabes destruyen árbol de Navidad en Italia,Арабы уничтожить елку в Италии,العرب تدمير شجرة عيد الميلاد في إيطاليا
f106,https://www.youtube.com/watch?v=yQSHGABh_40,fake,Muslims tear Christmas tree down at mall,larme arbre de Noël musulmans vers le bas au centre commercial,musulmanes rasgue abajo el árbol de navidad en el centro comercial,мусульманите разрывать елки вниз в торговом центре,المسلمين المسيل للدموع شجرة عيد الميلاد في أسفل المول
f107,https://www.youtube.com/watch?v=4oJbVJbYf4k,fake,Muslims marching for Sharia Law in England,musulmans de marche pour une sharia en Angleterre,musulmanes que marchan por la ley sharia en Inglaterra,Мусульмане маршируют по законам шариата в англии,المسلمين يسيرون على الشريعة في انكلترا
f108,https://www.youtube.com/watch?v=kfx1za-CyDI,fake,Pakistani Police torturing Christians,La police pakistanaise torturant chrétiens,La policía paquistaní torturando a los cristianos,Пакистанская полиция мучают христиан,الشرطة الباكستانية بتعذيب المسيحيين
f109,https://www.youtube.com/watch?v=mVYZqkMRkhc,fake,France Has Fallen,France est tombée,Francia ha caído,Франция упала,انخفض فرنسا
f110,https://www.youtube.com/watch?v=6411gQdfQwg,fake,Jihadi John' Killer from Islamic State Beheading,djihadiste john tueur » de décapitation de l'État islamic,John yihadista' asesino de la decapitación estado islámico,убийца Эмвази»из исламистского государственного обезглавливания,القاتل جون الجهادي "من ذبح الدولة الإسلامية
f111,https://www.youtube.com/watch?v=oefFuM4JS1c,fake,Alleged Boko Haram surrender,présumé Boko Haram reddition,Boko Haram supuesta rendición,мнимый Боко харам капитуляция,المزعوم بوكو حرام استسلام
f112,https://www.youtube.com/watch?v=OhKcqJPsLd0,fake,Man dressed as American soldier shooting a Quran book with a Soviet assault rifle,homme habillé en soldat américain tirant un livre de Quran avec un fusil d'assaut soviétique,hombre vestido de soldado estadounidense disparando un libro corán con un fusil de asalto soviético,Человек,одетый,как американский солдат съемки в QURAN книгу с советской штурмовой винтовкой,رجل يرتدي زي جندي أمريكي تصوير كتاب القرآن الكريم مع بندقية السوفيتية
f113,https://www.youtube.com/watch?v=5b08s4F-Z0o,fake,The airstrike against an ISIS ammunition depot near Talbiseh settlement,le raid aérien contre un dépôt de munitions près isis Talbiseh règlement,el ataque aéreo contra un depósito de municiones cerca de Isis Talbiseh asentamiento,авиаудар против ISIS склад боеприпасов возле поселка Телль-Биса,الضربة الجوية ضد مستودع للذخيرة قرب إيزيس تلبيسة تسوية
f114,https://www.youtube.com/watch?v=955-5Z5bawA,fake,Russian air strike on a terrorists' dug-out shelter (Latakia province),frappe aérienne russe sur un refuge monoxyle des terroristes (Latakia province),ataque aéreo ruso en cavados a cabo un refugio para los terroristas (latakia provincia),России авиаудара на выкопанной приют для террористов (Латакия область),غارة جوية الروسية على ملجأ حفر خارج الإرهابيين (اللاذقية محافظة)
